PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40167487","Enhancing synchrotron radiation micro-CT images using deep learning: an application of Noise2Inverse on bone imaging","Obata Y, Parkinson DY, Pelt DM, Acevedo C.","J Synchrotron Radiat. 2025 May 1;32(Pt 3):690-699. doi: 10.1107/S1600577525001833. Epub 2025 Apr 1.","Obata Y","J Synchrotron Radiat","2025","2025/04/01","PMC12067336","","10.1107/S1600577525001833"
"39905914","Segmentation of cortical bone, trabecular bone, and medullary pores from micro-CT images using 2D and 3D deep learning models","Lee AH, Moore JM, Covarrubias BV, Lynch LM.","Anat Rec (Hoboken). 2025 Feb 5. doi: 10.1002/ar.25633. Online ahead of print.","Lee AH","Anat Rec (Hoboken)","2025","2025/02/05","","","10.1002/ar.25633"
"39890924","Universal conditional networks (UniCoN) for multi-age embryonic cartilage segmentation with Sparsely annotated data","Sapkota N, Zhang Y, Zhao Z, Gomez MJ, Hsi Y, Wilson JA, Kawasaki K, Holmes G, Wu M, Jabs EW, Richtsmeier JT, Perrine SMM, Chen DZ.","Sci Rep. 2025 Jan 31;15(1):3893. doi: 10.1038/s41598-025-87797-9.","Sapkota N","Sci Rep","2025","2025/01/31","PMC11785758","","10.1038/s41598-025-87797-9"
"39174951","Prediction of midpalatal suture maturation stage based on transfer learning and enhanced vision transformer","Tang H, Liu S, Tan W, Fu L, Yan M, Feng H.","BMC Med Inform Decis Mak. 2024 Aug 22;24(1):232. doi: 10.1186/s12911-024-02598-w.","Tang H","BMC Med Inform Decis Mak","2024","2024/08/22","PMC11340164","","10.1186/s12911-024-02598-w"
"38821263","Identification of Root Canal Morphology in Fused-rooted Mandibular Second Molars From X-ray Images Based on Deep Learning","Wu W, Chen S, Chen P, Chen M, Yang Y, Gao Y, Hu J, Ma J.","J Endod. 2024 Sep;50(9):1289-1297.e1. doi: 10.1016/j.joen.2024.05.014. Epub 2024 May 29.","Wu W","J Endod","2024","2024/05/31","","","10.1016/j.joen.2024.05.014"
"38777311","Characterization and quantification of in-vitro equine bone resorption in 3D using μCT and deep learning-aided feature segmentation","Grass DM, Malek G, Taïeb HM, Ittah E, Richard H, Reznikov N, Laverty S.","Bone. 2024 Aug;185:117131. doi: 10.1016/j.bone.2024.117131. Epub 2024 May 20.","Grass DM","Bone","2024","2024/05/22","","","10.1016/j.bone.2024.117131"
"38709885","Vascular function and skeletal fragility: a study of tonometry, brachial hemodynamics, and bone microarchitecture","Usiskin IM, Mitchell GF, Bouxsein ML, Liu CT, Kiel DP, Samelson EJ.","J Bone Miner Res. 2024 Aug 5;39(7):906-917. doi: 10.1093/jbmr/zjae071.","Usiskin IM","J Bone Miner Res","2024","2024/05/06","PMC11301519","","10.1093/jbmr/zjae071"
"38473040","Deep Convolutional Neural Networks Provide Motion Grading for High-Resolution Peripheral Quantitative Computed Tomography of the Scaphoid","Benedikt S, Zelger P, Horling L, Stock K, Pallua J, Schirmer M, Degenhart G, Ruzicka A, Arora R.","Diagnostics (Basel). 2024 Mar 6;14(5):568. doi: 10.3390/diagnostics14050568.","Benedikt S","Diagnostics (Basel)","2024","2024/03/13","PMC10931275","","10.3390/diagnostics14050568"
"38219339","A convolutional neural network-based method for the generation of super-resolution 3D models from clinical CT images","Zhou Y, Klintström E, Klintström B, Ferguson SJ, Helgason B, Persson C.","Comput Methods Programs Biomed. 2024 Mar;245:108009. doi: 10.1016/j.cmpb.2024.108009. Epub 2024 Jan 6.","Zhou Y","Comput Methods Programs Biomed","2024","2024/01/14","","","10.1016/j.cmpb.2024.108009"
"38106266","Measuring the binary thickness of buccal bone of anterior maxilla in low-resolution cone-beam computed tomography via a bilinear convolutional neural network","Gong Z, Li X, Shi M, Cai G, Chen S, Ye Z, Gan X, Yang R, Wang R, Chen Z.","Quant Imaging Med Surg. 2023 Dec 1;13(12):8053-8066. doi: 10.21037/qims-23-744. Epub 2023 Oct 7.","Gong Z","Quant Imaging Med Surg","2023","2023/12/18","PMC10722026","","10.21037/qims-23-744"
