PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40532366","Automated quantitative analysis of peri-articular bone microarchitecture in HR-pQCT knee images","Neeteson NJ, Hasick SM, Souza R, Boyd SK.","Comput Methods Programs Biomed. 2025 Sep;269:108882. doi: 10.1016/j.cmpb.2025.108882. Epub 2025 Jun 13.","Neeteson NJ","Comput Methods Programs Biomed","2025","2025/06/18","","","10.1016/j.cmpb.2025.108882"
"39869791","Prediction of hip fracture by high-resolution peripheral quantitative computed tomography in older Swedish women","Jaiswal R, Pivodic A, Zoulakis M, Axelsson KF, Litsne H, Johansson L, Lorentzon M.","J Bone Miner Res. 2025 Jun 3;40(6):779-790. doi: 10.1093/jbmr/zjaf020.","Jaiswal R","J Bone Miner Res","2025","2025/01/27","PMC12131241","","10.1093/jbmr/zjaf020"
"39866530","Integrating deep learning and machine learning for improved CKD-related cortical bone assessment in HRpQCT images: A pilot study","Lee Y, Bandara WR, Park S, Lee M, Seo C, Yang S, Lim KJ, Moe SM, Warden SJ, Surowiec RK.","Bone Rep. 2024 Dec 26;24:101821. doi: 10.1016/j.bonr.2024.101821. eCollection 2025 Mar.","Lee Y","Bone Rep","2024","2025/01/27","PMC11763521","","10.1016/j.bonr.2024.101821"
"39728215","Three-Dimensional Bone-Image Synthesis with Generative Adversarial Networks","Angermann C, Bereiter-Payr J, Stock K, Degenhart G, Haltmeier M.","J Imaging. 2024 Dec 11;10(12):318. doi: 10.3390/jimaging10120318.","Angermann C","J Imaging","2024","2024/12/27","PMC11678923","","10.3390/jimaging10120318"
