PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36328744","Single-cell RNA sequencing analysis reveals the relationship of bone marrow and osteopenia in STZ-induced type 1 diabetic mice","Zhong J, Mao X, Li H, Shen G, Cao X, He N, Wang J, Xu L, Chen J, Song X, Liu S, Zhang X, Shen Y, Wang LL, Xiang C, Chen YY.","J Adv Res. 2022 Nov;41:145-158. doi: 10.1016/j.jare.2022.01.006. Epub 2022 Jan 21.","Zhong J","J Adv Res","2022","2022/11/03","PMC9637485","","10.1016/j.jare.2022.01.006"
"26497626","Resveratrol prevents alveolar bone loss in an experimental rat model of periodontitis","Bhattarai G, Poudel SB, Kook SH, Lee JC.","Acta Biomater. 2016 Jan;29:398-408. doi: 10.1016/j.actbio.2015.10.031. Epub 2015 Oct 20.","Bhattarai G","Acta Biomater","2016","2015/10/27","","","10.1016/j.actbio.2015.10.031"
"32783967","Deep learning for 3D imaging and image analysis in biomineralization research","Reznikov N, Buss DJ, Provencher B, McKee MD, Piché N.","J Struct Biol. 2020 Oct 1;212(1):107598. doi: 10.1016/j.jsb.2020.107598. Epub 2020 Aug 9.","Reznikov N","J Struct Biol","2020","2020/08/14","","","10.1016/j.jsb.2020.107598"
"37387366","PRRX1(+)MSCs Enhance Mandibular Regeneration during Distraction Osteogenesis","Jiang WD, Zhu PQ, Zhang T, Liao FC, Jiang PP, Zhou N, Wang XD, Huang XP.","J Dent Res. 2023 Aug;102(9):1058-1068. doi: 10.1177/00220345231176522. Epub 2023 Jun 30.","Jiang WD","J Dent Res","2023","2023/06/30","","","10.1177/00220345231176522"
"33509373","Artificial Intelligence and Machine Learning in Nuclear Medicine: Future Perspectives","Seifert R, Weber M, Kocakavuk E, Rischpler C, Kersting D.","Semin Nucl Med. 2021 Mar;51(2):170-177. doi: 10.1053/j.semnuclmed.2020.08.003. Epub 2020 Sep 12.","Seifert R","Semin Nucl Med","2021","2021/01/29","","","10.1053/j.semnuclmed.2020.08.003"
"37445896","Sirt6 Activation Ameliorates Inflammatory Bone Loss in Ligature-Induced Periodontitis in Mice","Lee MJ, Ryu HH, Hwang JW, Kim JR, Cho ES, Choi JK, Moon YJ.","Int J Mol Sci. 2023 Jun 27;24(13):10714. doi: 10.3390/ijms241310714.","Lee MJ","Int J Mol Sci","2023","2023/07/14","PMC10341680","","10.3390/ijms241310714"
"36828576","Micro-CT Analysis of Fat in the Killifish Nothobranchius furzeri","Ripa R, Mesaros A, Symmons O, Ballhysa E, Dolfi L, Antebi A.","Cold Spring Harb Protoc. 2023 Aug 1;2023(8):107884. doi: 10.1101/pdb.prot107884.","Ripa R","Cold Spring Harb Protoc","2023","2023/02/24","","","10.1101/pdb.prot107884"
"34450416","Deep learning approach to assess damage mechanics of bone tissue","Shen SC, Peña Fernández M, Tozzi G, Buehler MJ.","J Mech Behav Biomed Mater. 2021 Nov;123:104761. doi: 10.1016/j.jmbbm.2021.104761. Epub 2021 Aug 14.","Shen SC","J Mech Behav Biomed Mater","2021","2021/08/27","","","10.1016/j.jmbbm.2021.104761"
"34842849","Generation of Vertebra Micro-CT-like Image from MDCT: A Deep-Learning-Based Image Enhancement Approach","Jin D, Zheng H, Zhao Q, Wang C, Zhang M, Yuan H.","Tomography. 2021 Nov 12;7(4):767-782. doi: 10.3390/tomography7040064.","Jin D","Tomography","2021","2021/11/29","PMC8628970","","10.3390/tomography7040064"
"35288271","Methods for multiscale structural and functional analysis of the mammalian cochlea","Vogl C, Neef J, Wichmann C.","Mol Cell Neurosci. 2022 May;120:103720. doi: 10.1016/j.mcn.2022.103720. Epub 2022 Mar 11.","Vogl C","Mol Cell Neurosci","2022","2022/03/15","","","10.1016/j.mcn.2022.103720"
