PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40738977","Trabecular bone analysis: ultra-high-resolution CT goes far beyond high-resolution CT and gets closer to micro-CT (a study using Canon Medical CT devices)","Gillet R, Puel U, Amer A, Doyen M, Boubaker F, Assabah B, Hossu G, Gillet P, Blum A, Teixeira PAG.","Skeletal Radiol. 2025 Jul 30. doi: 10.1007/s00256-025-05001-5. Online ahead of print.","Gillet R","Skeletal Radiol","2025","2025/07/30","","","10.1007/s00256-025-05001-5"
"40654621","Automated Joint Space Detection Improves Bone Segmentation Accuracy","Kenney HM, Lichau D, Blanc R, Schnur L, Bell RD, Ritchlin CT, Schwarz EM, Awad HA, Wood RW.","bioRxiv [Preprint]. 2025 May 6:2025.04.30.651481. doi: 10.1101/2025.04.30.651481.","Kenney HM","bioRxiv","2025","2025/07/14","PMC12247839","","10.1101/2025.04.30.651481"
"40583737","Trabecular Architecture of the Proximal Tibia in Extant Hominids","Lukova A, Bachmann S, Synek A, Pahr DH, Kilbourne B, Dunmore CJ, Kivell TL, Skinner MM.","Am J Biol Anthropol. 2025 Jul;187(3):e70084. doi: 10.1002/ajpa.70084.","Lukova A","Am J Biol Anthropol","2025","2025/06/30","PMC12207363","","10.1002/ajpa.70084"
"40582223","Predicting rat lumbar vertebral failure patterns as synthetic μCT images using a deep convolutional generative adversarial network","Tolgyesi A, Whyne C, Hardisty M.","J Mech Behav Biomed Mater. 2025 Oct;170:107116. doi: 10.1016/j.jmbbm.2025.107116. Epub 2025 Jun 26.","Tolgyesi A","J Mech Behav Biomed Mater","2025","2025/06/29","","","10.1016/j.jmbbm.2025.107116"
"40444285","Volumetric atlas of the rat inner ear from microCT and iDISCO+ cleared temporal bones","Cossellu D, Vivado E, Batti L, Gantar I, Pizzala R, Perin P.","PeerJ. 2025 May 26;13:e19512. doi: 10.7717/peerj.19512. eCollection 2025.","Cossellu D","PeerJ","2025","2025/05/30","PMC12121623","","10.7717/peerj.19512"
"40386183","IL7-IL7R Interaction Mediates Fibroblast-Driven Macrophage-to-Osteoclast Differentiation in Periodontitis","Huang P, Gao L, Guan J, Li Y, Jia Y, Zeng Z, Chen Y, Wang L, Li W, Wang Y, Yang B.","J Inflamm Res. 2025 May 11;18:6105-6122. doi: 10.2147/JIR.S524284. eCollection 2025.","Huang P","J Inflamm Res","2025","2025/05/19","PMC12081953","","10.2147/JIR.S524284"
"40328110","A high-throughput framework for predicting three-dimensional structural-mechanical relationships of human cranial bones using a deep learning-based method","Guo W, Rezasefat M, Rabey KN, Ouellet S, Westover L, Hogan JD.","J Mech Behav Biomed Mater. 2025 Aug;168:107007. doi: 10.1016/j.jmbbm.2025.107007. Epub 2025 Apr 24.","Guo W","J Mech Behav Biomed Mater","2025","2025/05/06","","","10.1016/j.jmbbm.2025.107007"
"40196347","A study on early diagnosis for fracture non-union prediction using deep learning and bone morphometric parameters","Yu H, Mu Q, Wang Z, Guo Y, Zhao J, Wang G, Wang Q, Meng X, Dong X, Wang S, Sun J.","Front Med (Lausanne). 2025 Mar 24;12:1547588. doi: 10.3389/fmed.2025.1547588. eCollection 2025.","Yu H","Front Med (Lausanne)","2025","2025/04/08","PMC11973290","","10.3389/fmed.2025.1547588"
"40167487","Enhancing synchrotron radiation micro-CT images using deep learning: an application of Noise2Inverse on bone imaging","Obata Y, Parkinson DY, Pelt DM, Acevedo C.","J Synchrotron Radiat. 2025 May 1;32(Pt 3):690-699. doi: 10.1107/S1600577525001833. Epub 2025 Apr 1.","Obata Y","J Synchrotron Radiat","2025","2025/04/01","PMC12067336","","10.1107/S1600577525001833"
"40154766","Human bone ultrastructure in 3D: Multimodal correlative study combining nanoscale X-ray computed tomography and quantitative polarized Raman spectroscopy","Kochetkova T, Kormilina T, Englisch S, Drobek D, Zubiri BA, Braun O, Calame M, Remund S, Neuenschwander B, Michler J, Zysset P, Spiecker E, Schwiedrzik J.","Acta Biomater. 2025 May 15;198:302-318. doi: 10.1016/j.actbio.2025.03.045. Epub 2025 Mar 26.","Kochetkova T","Acta Biomater","2025","2025/03/28","","","10.1016/j.actbio.2025.03.045"
