PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37132542","A Fracture Risk Assessment Tool for High Resolution Peripheral Quantitative Computed Tomography","Whittier DE, Samelson EJ, Hannan MT, Burt LA, Hanley DA, Biver E, Szulc P, Sornay-Rendu E, Merle B, Chapurlat R, Lespessailles E, Wong AKO, Goltzman D, Khosla S, Ferrari S, Bouxsein ML, Kiel DP, Boyd SK.","J Bone Miner Res. 2023 Sep;38(9):1234-1244. doi: 10.1002/jbmr.4808. Epub 2023 May 3.","Whittier DE","J Bone Miner Res","2023","2023/05/03","PMC10523935","NIHMS1886053","10.1002/jbmr.4808"
"36368464","Motion grading of high-resolution quantitative computed tomography supported by deep convolutional neural networks","Walle M, Eggemann D, Atkins PR, Kendall JJ, Stock K, Müller R, Collins CJ.","Bone. 2023 Jan;166:116607. doi: 10.1016/j.bone.2022.116607. Epub 2022 Nov 8.","Walle M","Bone","2023","2022/11/11","","","10.1016/j.bone.2022.116607"
"33244765","Automated resolution independent method for comparing in vivo and dry trabecular bone","Saers JPP, DeMars LJ, Stephens NB, Jashashvili T, Carlson KJ, Gordon AD, Ryan TM, Stock JT.","Am J Phys Anthropol. 2021 Apr;174(4):822-831. doi: 10.1002/ajpa.24181. Epub 2020 Nov 27.","Saers JPP","Am J Phys Anthropol","2021","2020/11/27","","","10.1002/ajpa.24181"
"27130873","Cluster analysis of bone microarchitecture from high resolution peripheral quantitative computed tomography demonstrates two separate phenotypes associated with high fracture risk in men and women","Edwards MH, Robinson DE, Ward KA, Javaid MK, Walker-Bone K, Cooper C, Dennison EM.","Bone. 2016 Jul;88:131-137. doi: 10.1016/j.bone.2016.04.025. Epub 2016 Apr 26.","Edwards MH","Bone","2016","2016/05/01","PMC4913839","EMS68773","10.1016/j.bone.2016.04.025"
"36581259","Machine learning applied to HR-pQCT images improves fracture discrimination provided by DXA and clinical risk factors","Lu S, Fuggle NR, Westbury LD, Ó Breasail M, Bevilacqua G, Ward KA, Dennison EM, Mahmoodi S, Niranjan M, Cooper C.","Bone. 2023 Mar;168:116653. doi: 10.1016/j.bone.2022.116653. Epub 2022 Dec 27.","Lu S","Bone","2023","2022/12/29","","","10.1016/j.bone.2022.116653"
"33958664","Deep learning methods allow fully automated segmentation of metacarpal bones to quantify volumetric bone mineral density","Folle L, Meinderink T, Simon D, Liphardt AM, Krönke G, Schett G, Kleyer A, Maier A.","Sci Rep. 2021 May 6;11(1):9697. doi: 10.1038/s41598-021-89111-9.","Folle L","Sci Rep","2021","2021/05/07","PMC8102473","","10.1038/s41598-021-89111-9"
"33824080","Musculoskeletal injuries in military personnel-Descriptive epidemiology, risk factor identification, and prevention","Lovalekar M, Hauret K, Roy T, Taylor K, Blacker SD, Newman P, Yanovich R, Fleischmann C, Nindl BC, Jones B, Canham-Chervak M.","J Sci Med Sport. 2021 Oct;24(10):963-969. doi: 10.1016/j.jsams.2021.03.016. Epub 2021 Mar 31.","Lovalekar M","J Sci Med Sport","2021","2021/04/07","","","10.1016/j.jsams.2021.03.016"
"37445279","Management of Adrenal Cortical Adenomas: Assessment of Bone Status in Patients with (Non-Functioning) Adrenal Incidentalomas","Trandafir AI, Stanciu M, Albu SE, Stoian VR, Ciofu I, Persu C, Nistor C, Carsote M.","J Clin Med. 2023 Jun 24;12(13):4244. doi: 10.3390/jcm12134244.","Trandafir AI","J Clin Med","2023","2023/07/14","PMC10342680","","10.3390/jcm12134244"
"33761965","3D computational anatomy of the scaphoid and its waist for use in fracture treatment","Ahrend MD, Teunis T, Noser H, Schmidutz F, Richards G, Gueorguiev B, Kamer L.","J Orthop Surg Res. 2021 Mar 24;16(1):216. doi: 10.1186/s13018-021-02330-8.","Ahrend MD","J Orthop Surg Res","2021","2021/03/25","PMC7988956","","10.1186/s13018-021-02330-8"
"31187198","Cluster Analysis of Finite Element Analysis and Bone Microarchitectural Parameters Identifies Phenotypes with High Fracture Risk","Westbury LD, Shere C, Edwards MH, Cooper C, Dennison EM, Ward KA.","Calcif Tissue Int. 2019 Sep;105(3):252-262. doi: 10.1007/s00223-019-00564-7. Epub 2019 Jun 11.","Westbury LD","Calcif Tissue Int","2019","2019/06/13","PMC6694037","EMS83628","10.1007/s00223-019-00564-7"
