PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40710452","Morphometric, Biomechanical and Macromolecular Performances of β-TCP Macro/Micro-Porous Lattice Scaffolds Fabricated via Lithography-Based Ceramic Manufacturing for Jawbone Engineering","Mangano C, Riberti N, Orilisi G, Tecco S, Furlani M, Giommi C, Mengucci P, Giorgini E, Giuliani A.","J Funct Biomater. 2025 Jun 28;16(7):237. doi: 10.3390/jfb16070237.","Mangano C","J Funct Biomater","2025","2025/07/25","PMC12295332","","10.3390/jfb16070237"
"40654621","Automated Joint Space Detection Improves Bone Segmentation Accuracy","Kenney HM, Lichau D, Blanc R, Schnur L, Bell RD, Ritchlin CT, Schwarz EM, Awad HA, Wood RW.","bioRxiv [Preprint]. 2025 May 6:2025.04.30.651481. doi: 10.1101/2025.04.30.651481.","Kenney HM","bioRxiv","2025","2025/07/14","PMC12247839","","10.1101/2025.04.30.651481"
"40395772","Prognostic assessment of osteolytic lesions and mechanical properties of bones bearing breast cancer using neural network and finite element analysis(☆)","Wang S, Chu T, Wasi M, Guerra RM, Yuan X, Wang L.","Mechanobiol Med. 2025 Mar 30;3(2):100130. doi: 10.1016/j.mbm.2025.100130. eCollection 2025 Jun.","Wang S","Mechanobiol Med","2025","2025/05/21","PMC12067881","","10.1016/j.mbm.2025.100130"
"40328110","A high-throughput framework for predicting three-dimensional structural-mechanical relationships of human cranial bones using a deep learning-based method","Guo W, Rezasefat M, Rabey KN, Ouellet S, Westover L, Hogan JD.","J Mech Behav Biomed Mater. 2025 Aug;168:107007. doi: 10.1016/j.jmbbm.2025.107007. Epub 2025 Apr 24.","Guo W","J Mech Behav Biomed Mater","2025","2025/05/06","","","10.1016/j.jmbbm.2025.107007"
"40167487","Enhancing synchrotron radiation micro-CT images using deep learning: an application of Noise2Inverse on bone imaging","Obata Y, Parkinson DY, Pelt DM, Acevedo C.","J Synchrotron Radiat. 2025 May 1;32(Pt 3):690-699. doi: 10.1107/S1600577525001833. Epub 2025 Apr 1.","Obata Y","J Synchrotron Radiat","2025","2025/04/01","PMC12067336","","10.1107/S1600577525001833"
"40130531","A new preclinical sheep model of medial meniscus anterior root repair: Part 1-Quantitative morphology and relationships to adjacent structures","Liu W, Carretero-Hernández M, Zhang Y, Cucchiarini M, Brockmeyer M, Madry H.","Knee Surg Sports Traumatol Arthrosc. 2025 Jul;33(7):2470-2486. doi: 10.1002/ksa.12656. Epub 2025 Mar 25.","Liu W","Knee Surg Sports Traumatol Arthrosc","2025","2025/03/25","PMC12205422","","10.1002/ksa.12656"
"40123115","Statistical Shape Modeling of an Experimental, Induced Cam-Femoroacetabular Impingement Deformity in a Rabbit Model: A Platform to Study Mechanism of Hip Disease","Ince DC, Kamenaga T, Kikuchi K, Clohisy JC, O'Keefe RJ, Yuh C, Wimmer MA, Mell SP, Pascual-Garrido C.","Am J Sports Med. 2025 May;53(6):1328-1335. doi: 10.1177/03635465251326888. Epub 2025 Mar 23.","Ince DC","Am J Sports Med","2025","2025/03/24","","","10.1177/03635465251326888"
"40010393","When the lung invades: a review of avian postcranial skeletal pneumaticity","Moore AJ, Schachner ER.","Philos Trans R Soc Lond B Biol Sci. 2025 Feb 27;380(1920):rstb20230427. doi: 10.1098/rstb.2023.0427. Epub 2025 Feb 27.","Moore AJ","Philos Trans R Soc Lond B Biol Sci","2025","2025/02/26","PMC12077225","","10.1098/rstb.2023.0427"
"39609521","Cell quantification at the osteochondral interface from synchrotron radiation phase contrast micro-computed tomography images using a deep learning approach","Xu H, Olivier C, Sajidy H, Pallu S, Portier H, Peyrin F, Chappard C.","Sci Rep. 2024 Nov 28;14(1):29619. doi: 10.1038/s41598-024-81333-x.","Xu H","Sci Rep","2024","2024/11/28","PMC11604923","","10.1038/s41598-024-81333-x"
"37747411","Embryonic cranial cartilage defects in the Fgfr3(Y367C) (/+) mouse model of achondroplasia","Motch Perrine SM, Sapkota N, Kawasaki K, Zhang Y, Chen DZ, Kawasaki M, Durham EL, Heuzé Y, Legeai-Mallet L, Richtsmeier JT.","Anat Rec (Hoboken). 2025 Jul;308(7):1893-1911. doi: 10.1002/ar.25327. Epub 2023 Sep 25.","Motch Perrine SM","Anat Rec (Hoboken)","2025","2023/09/25","PMC10961250","NIHMS1931515","10.1002/ar.25327"
