PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32783967","Deep learning for 3D imaging and image analysis in biomineralization research","Reznikov N, Buss DJ, Provencher B, McKee MD, Piché N.","J Struct Biol. 2020 Oct 1;212(1):107598. doi: 10.1016/j.jsb.2020.107598. Epub 2020 Aug 9.","Reznikov N","J Struct Biol","2020","2020/08/14","","","10.1016/j.jsb.2020.107598"
"37387366","PRRX1(+)MSCs Enhance Mandibular Regeneration during Distraction Osteogenesis","Jiang WD, Zhu PQ, Zhang T, Liao FC, Jiang PP, Zhou N, Wang XD, Huang XP.","J Dent Res. 2023 Aug;102(9):1058-1068. doi: 10.1177/00220345231176522. Epub 2023 Jun 30.","Jiang WD","J Dent Res","2023","2023/06/30","","","10.1177/00220345231176522"
"33782948","Automated analysis of rabbit knee calcified cartilage morphology using micro-computed tomography and deep learning","Rytky SJO, Huang L, Tanska P, Tiulpin A, Panfilov E, Herzog W, Korhonen RK, Saarakkala S, Finnilä MAJ.","J Anat. 2021 Aug;239(2):251-263. doi: 10.1111/joa.13435. Epub 2021 Mar 29.","Rytky SJO","J Anat","2021","2021/03/30","PMC8273618","","10.1111/joa.13435"
"34450416","Deep learning approach to assess damage mechanics of bone tissue","Shen SC, Peña Fernández M, Tozzi G, Buehler MJ.","J Mech Behav Biomed Mater. 2021 Nov;123:104761. doi: 10.1016/j.jmbbm.2021.104761. Epub 2021 Aug 14.","Shen SC","J Mech Behav Biomed Mater","2021","2021/08/27","","","10.1016/j.jmbbm.2021.104761"
"34754768","Application of machine learning classifiers for microcomputed tomography data assessment of mouse bone microarchitecture","Coulombe JC, Mullen ZK, Lynch ME, Stodieck LS, Ferguson VL.","MethodsX. 2021 Aug 24;8:101497. doi: 10.1016/j.mex.2021.101497. eCollection 2021.","Coulombe JC","MethodsX","2021","2021/11/10","PMC8563473","","10.1016/j.mex.2021.101497"
"37792417","The effect of osteocyte-derived RANKL on bone graft remodeling: An in vivo experimental study","Feher B, Kampleitner C, Heimel P, Tangl S, Helms JA, Kuchler U, Gruber R.","Clin Oral Implants Res. 2023 Dec;34(12):1417-1427. doi: 10.1111/clr.14187. Epub 2023 Oct 4.","Feher B","Clin Oral Implants Res","2023","2023/10/04","","","10.1111/clr.14187"
"36401814","Lipopolysaccharide-Induced Bone Loss in Rodent Models: A Systematic Review and Meta-Analysis","Bott KN, Feldman E, de Souza RJ, Comelli EM, Klentrou P, Peters SJ, Ward WE.","J Bone Miner Res. 2023 Jan;38(1):198-213. doi: 10.1002/jbmr.4740. Epub 2022 Dec 5.","Bott KN","J Bone Miner Res","2023","2022/11/19","PMC10107812","","10.1002/jbmr.4740"
"38729290","A reliable deep-learning-based method for alveolar bone quantification using a murine model of periodontitis and micro-computed tomography imaging","Xi R, Ali M, Zhou Y, Tizzano M.","J Dent. 2024 Jul;146:105057. doi: 10.1016/j.jdent.2024.105057. Epub 2024 May 8.","Xi R","J Dent","2024","2024/05/10","PMC11288397","NIHMS2001322","10.1016/j.jdent.2024.105057"
"36828576","Micro-CT Analysis of Fat in the Killifish Nothobranchius furzeri","Ripa R, Mesaros A, Symmons O, Ballhysa E, Dolfi L, Antebi A.","Cold Spring Harb Protoc. 2023 Aug 1;2023(8):107884. doi: 10.1101/pdb.prot107884.","Ripa R","Cold Spring Harb Protoc","2023","2023/02/24","","","10.1101/pdb.prot107884"
"38385868","Semi-Automated MicroCT Analysis of Bone Anatomy and Mineralization in Mouse Models","Spoutil F, Dlugosova S, Varga I, Aranaz-Novaliches G, Novosadova V, Prochazkova M, Sedlacek R, Prochazka J.","Curr Protoc. 2024 Feb;4(2):e980. doi: 10.1002/cpz1.980.","Spoutil F","Curr Protoc","2024","2024/02/22","","","10.1002/cpz1.980"
"37730735","Leptin receptor gene deficiency minimally affects osseointegration in rats","Jolic M, Ruscsák K, Emanuelsson L, Norlindh B, Thomsen P, Shah FA, Palmquist A.","Sci Rep. 2023 Sep 20;13(1):15631. doi: 10.1038/s41598-023-42379-5.","Jolic M","Sci Rep","2023","2023/09/20","PMC10511412","","10.1038/s41598-023-42379-5"
"36384160","FasL is a catabolic factor in alveolar bone homeostasis","Apaza Alccayhuaman KA, Heimel P, Lee JS, Tangl S, Kuchler U, Marchesan J, Panahipour L, Lettner S, Matalová E, Gruber R.","J Clin Periodontol. 2023 Mar;50(3):396-405. doi: 10.1111/jcpe.13750. Epub 2022 Nov 25.","Apaza Alccayhuaman KA","J Clin Periodontol","2023","2022/11/17","PMC10946845","","10.1111/jcpe.13750"
"33434328","Severity of Megakaryocyte-Driven Osteosclerosis in Mpig6b-Deficient Mice Is Sex-Linked","Stavnichuk M, Tauer JT, Nagy Z, Mazharian A, Welman M, Lordkipanidzé M, Senis YA, Komarova SV.","J Bone Miner Res. 2021 Apr;36(4):803-813. doi: 10.1002/jbmr.4245. Epub 2021 Feb 8.","Stavnichuk M","J Bone Miner Res","2021","2021/01/12","","","10.1002/jbmr.4245"
"35614222","Morphology of Palaeospondylus shows affinity to tetrapod ancestors","Hirasawa T, Hu Y, Uesugi K, Hoshino M, Manabe M, Kuratani S.","Nature. 2022 Jun;606(7912):109-112. doi: 10.1038/s41586-022-04781-3. Epub 2022 May 25.","Hirasawa T","Nature","2022","2022/05/25","","","10.1038/s41586-022-04781-3"
"36111203","Protective Effect on Bone of Nacre Supplementation in Ovariectomized Rats","Nguyen DK, Laroche N, Vanden-Bossche A, Linossier MT, Thomas M, Peyroche S, Normand M, Bertache-Djenadi Y, Thomas T, Marotte H, Vico L, Lafage-Proust MH, Rousseau M.","JBMR Plus. 2022 Jul 15;6(9):e10655. doi: 10.1002/jbm4.10655. eCollection 2022 Sep.","Nguyen DK","JBMR Plus","2022","2022/09/16","PMC9464996","","10.1002/jbm4.10655"
"39154827","Single-cell sequencing reveals that specnuezhenide protects against osteoporosis via activation of METTL3 in LEPR(+) BMSCs","Wei J, Dong R, Ma Y, Wang J, Tian S, Tu X, Mu Z, Liu YQ.","Eur J Pharmacol. 2024 Oct 15;981:176908. doi: 10.1016/j.ejphar.2024.176908. Epub 2024 Aug 21.","Wei J","Eur J Pharmacol","2024","2024/08/18","","","10.1016/j.ejphar.2024.176908"
"28500930","Micro-computed tomography, scanning electron microscopy and energy X-ray spectroscopy studies of facet joint degeneration: A comparison to clinical imaging","Goehre F, Ludtka C, Hamperl M, Friedmann A, Straube A, Mendel T, Heilmann A, Meisel HJ, Schwan S.","Micron. 2017 Sep;100:50-59. doi: 10.1016/j.micron.2017.04.011. Epub 2017 May 1.","Goehre F","Micron","2017","2017/05/14","","","10.1016/j.micron.2017.04.011"
"34095987","Osteoconductive properties of upside-down bilayer collagen membranes in rat calvarial defects","Feher B, Apaza Alccayhuaman KA, Strauss FJ, Lee JS, Tangl S, Kuchler U, Gruber R.","Int J Implant Dent. 2021 Jun 7;7(1):50. doi: 10.1186/s40729-021-00333-y.","Feher B","Int J Implant Dent","2021","2021/06/07","PMC8180471","","10.1186/s40729-021-00333-y"
"37747411","Embryonic cranial cartilage defects in the Fgfr3(Y367C) (/+) mouse model of achondroplasia","Motch Perrine SM, Sapkota N, Kawasaki K, Zhang Y, Chen DZ, Kawasaki M, Durham EL, Heuzé Y, Legeai-Mallet L, Richtsmeier JT.","Anat Rec (Hoboken). 2023 Sep 25:10.1002/ar.25327. doi: 10.1002/ar.25327. Online ahead of print.","Motch Perrine SM","Anat Rec (Hoboken)","2023","2023/09/25","PMC10961250","NIHMS1931515","10.1002/ar.25327"
"38834103","Statistical investigation of interdependence of trabecular microarchitectural parameters from micro-computed tomography","Neeteson NJ, Bugbird AR, Burt LA, Boyd SK.","Bone. 2024 Oct;187:117144. doi: 10.1016/j.bone.2024.117144. Epub 2024 Jun 2.","Neeteson NJ","Bone","2024","2024/06/04","","","10.1016/j.bone.2024.117144"
"32687794","Ranitidine Impairs Bone Healing and Implant Osseointegration in Rats' Tibiae","Alshahrani NS, Abu-Nada L, Ramirez Garcia-Luna JL, Al-Hamed FS, Alamri A, Makhoul NM, Tamimi F.","J Oral Maxillofac Surg. 2020 Nov;78(11):1943-1952. doi: 10.1016/j.joms.2020.06.027. Epub 2020 Jun 26.","Alshahrani NS","J Oral Maxillofac Surg","2020","2020/07/21","","","10.1016/j.joms.2020.06.027"
"35614082","MusMorph, a database of standardized mouse morphology data for morphometric meta-analyses","Devine J, Vidal-García M, Liu W, Neves A, Lo Vercio LD, Green RM, Richbourg HA, Marchini M, Unger CM, Nickle AC, Radford B, Young NM, Gonzalez PN, Schuler RE, Bugacov A, Rolian C, Percival CJ, Williams T, Niswander L, Calof AL, Lander AD, Visel A, Jirik FR, Cheverud JM, Klein OD, Birnbaum RY, Merrill AE, Ackermann RR, Graf D, Hemberger M, Dean W, Forkert ND, Murray SA, Westerberg H, Marcucio RS, Hallgrímsson B.","Sci Data. 2022 May 25;9(1):230. doi: 10.1038/s41597-022-01338-x.","Devine J","Sci Data","2022","2022/05/25","PMC9133120","","10.1038/s41597-022-01338-x"
"19013264","Micro-computed tomography assessment of fracture healing: relationships among callus structure, composition, and mechanical function","Morgan EF, Mason ZD, Chien KB, Pfeiffer AJ, Barnes GL, Einhorn TA, Gerstenfeld LC.","Bone. 2009 Feb;44(2):335-44. doi: 10.1016/j.bone.2008.10.039. Epub 2008 Oct 25.","Morgan EF","Bone","2009","2008/11/18","PMC2669651","NIHMS96216","10.1016/j.bone.2008.10.039"
"36272714","Effects of Fam83h truncation mutation on enamel developmental defects in male C57/BL6J mice","Zheng X, Huang W, He Z, Li Y, Li S, Song Y.","Bone. 2023 Jan;166:116595. doi: 10.1016/j.bone.2022.116595. Epub 2022 Oct 20.","Zheng X","Bone","2023","2022/10/22","","","10.1016/j.bone.2022.116595"
"32437969","Automating three-dimensional osteoarthritis histopathological grading of human osteochondral tissue using machine learning on contrast-enhanced micro-computed tomography","Rytky SJO, Tiulpin A, Frondelius T, Finnilä MAJ, Karhula SS, Leino J, Pritzker KPH, Valkealahti M, Lehenkari P, Joukainen A, Kröger H, Nieminen HJ, Saarakkala S.","Osteoarthritis Cartilage. 2020 Aug;28(8):1133-1144. doi: 10.1016/j.joca.2020.05.002. Epub 2020 May 11.","Rytky SJO","Osteoarthritis Cartilage","2020","2020/05/22","","","10.1016/j.joca.2020.05.002"
"32608132","Acid bone lysates reduce bone regeneration in rat calvaria defects","Strauss FJ, Kuchler U, Kobatake R, Heimel P, Tangl S, Gruber R.","J Biomed Mater Res A. 2021 May;109(5):659-665. doi: 10.1002/jbm.a.37050. Epub 2020 Jul 10.","Strauss FJ","J Biomed Mater Res A","2021","2020/07/02","PMC7984281","","10.1002/jbm.a.37050"
"24668424","Variations in microanatomy of the human cochlea","Avci E, Nauwelaers T, Lenarz T, Hamacher V, Kral A.","J Comp Neurol. 2014 Oct 1;522(14):3245-61. doi: 10.1002/cne.23594. Epub 2014 Apr 12.","Avci E","J Comp Neurol","2014","2014/03/27","PMC4265794","","10.1002/cne.23594"
"34917602","Ectopic Bone Tissue Engineering in Mice Using Human Gingiva or Bone Marrow-Derived Stromal/Progenitor Cells in Scaffold-Hydrogel Constructs","Shanbhag S, Kampleitner C, Mohamed-Ahmed S, Yassin MA, Dongre H, Costea DE, Tangl S, Stavropoulos A, Bolstad AI, Suliman S, Mustafa K.","Front Bioeng Biotechnol. 2021 Nov 30;9:783468. doi: 10.3389/fbioe.2021.783468. eCollection 2021.","Shanbhag S","Front Bioeng Biotechnol","2021","2021/12/17","PMC8670384","","10.3389/fbioe.2021.783468"
"30403537","3D human bone marrow stromal and endothelial cell spheres promote bone healing in an osteogenic niche","Inglis S, Kanczler JM, Oreffo ROC.","FASEB J. 2019 Mar;33(3):3279-3290. doi: 10.1096/fj.201801114R. Epub 2018 Nov 7.","Inglis S","FASEB J","2019","2018/11/08","PMC6404559","","10.1096/fj.201801114R"
"33807565","Acid Dentin Lysate Failed to Modulate Bone Formation in Rat Calvaria Defects","Nasirzade J, Alccayhuaman KAA, Kargarpour Z, Kuchler U, Strauss FJ, Panahipour L, Kampleitner C, Heimel P, Schwarz F, Gruber R.","Biology (Basel). 2021 Mar 5;10(3):196. doi: 10.3390/biology10030196.","Nasirzade J","Biology (Basel)","2021","2021/04/03","PMC7999213","","10.3390/biology10030196"
"24699186","Dental and periodontal phenotype in sclerostin knockout mice","Kuchler U, Schwarze UY, Dobsak T, Heimel P, Bosshardt DD, Kneissel M, Gruber R.","Int J Oral Sci. 2014 Jun;6(2):70-6. doi: 10.1038/ijos.2014.12. Epub 2014 Apr 4.","Kuchler U","Int J Oral Sci","2014","2014/04/05","PMC5130054","","10.1038/ijos.2014.12"
