PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,dataset,duplicate_count,duplicate
34953074,Bone Microarchitecture Phenotypes Identified in Older Adults Are Associated With Different Levels of Osteoporotic Fracture Risk,"Whittier DE, Samelson EJ, Hannan MT, Burt LA, Hanley DA, Biver E, Szulc P, Sornay-Rendu E, Merle B, Chapurlat R, Lespessailles E, Wong AKO, Goltzman D, Khosla S, Ferrari S, Bouxsein ML, Kiel DP, Boyd SK.",J Bone Miner Res. 2022 Mar;37(3):428-439. doi: 10.1002/jbmr.4494. Epub 2022 Jan 14.,Whittier DE,J Bone Miner Res,2022,2021/12/25,PMC9249128,NIHMS1817047,10.1002/jbmr.4494,"search_016, search_017, search_018, search_04, search_05, search_06",6,duplicate
34534791,Association between bone shape and the presence of a fracture in patients with a clinically suspected scaphoid fracture,"Bevers MSAM, Wyers CE, Daniels AM, Audenaert EA, van Kuijk SMJ, van Rietbergen B, Geusens PPMM, Kaarsemaker S, Janzing HMJ, Hannemann PFW, Poeze M, van den Bergh JP.",J Biomech. 2021 Nov 9;128:110726. doi: 10.1016/j.jbiomech.2021.110726. Epub 2021 Aug 30.,Bevers MSAM,J Biomech,2021,2021/09/17,,,10.1016/j.jbiomech.2021.110726,"search_016, search_017, search_018, search_04, search_05, search_06",6,duplicate
34278000,Differences in the effects of BMI on bone microstructure between loaded and unloaded bones assessed by HR-pQCT in Japanese postmenopausal women,"Fujii N, Tsukamoto M, Okimoto N, Mori M, Ikejiri Y, Yoshioka T, Kawasaki M, Kito N, Ozawa J, Nakamura R, Takano S, Fujiwara S.",Osteoporos Sarcopenia. 2021 Jun;7(2):54-62. doi: 10.1016/j.afos.2021.05.002. Epub 2021 May 26.,Fujii N,Osteoporos Sarcopenia,2021,2021/07/19,PMC8261728,,10.1016/j.afos.2021.05.002,"search_016, search_017, search_018, search_04, search_05, search_06",6,duplicate
33958664,Deep learning methods allow fully automated segmentation of metacarpal bones to quantify volumetric bone mineral density,"Folle L, Meinderink T, Simon D, Liphardt AM, Krönke G, Schett G, Kleyer A, Maier A.",Sci Rep. 2021 May 6;11(1):9697. doi: 10.1038/s41598-021-89111-9.,Folle L,Sci Rep,2021,2021/05/07,PMC8102473,,10.1038/s41598-021-89111-9,"search_016, search_017, search_018, search_04, search_05, search_06",6,duplicate
33761965,3D computational anatomy of the scaphoid and its waist for use in fracture treatment,"Ahrend MD, Teunis T, Noser H, Schmidutz F, Richards G, Gueorguiev B, Kamer L.",J Orthop Surg Res. 2021 Mar 24;16(1):216. doi: 10.1186/s13018-021-02330-8.,Ahrend MD,J Orthop Surg Res,2021,2021/03/25,PMC7988956,,10.1186/s13018-021-02330-8,"search_016, search_017, search_018, search_04, search_05, search_06",6,duplicate
30471462,Supervised learning for bone shape and cortical thickness estimation from CT images for finite element analysis,"Chandran V, Maquer G, Gerig T, Zysset P, Reyes M.",Med Image Anal. 2019 Feb;52:42-55. doi: 10.1016/j.media.2018.11.001. Epub 2018 Nov 16.,Chandran V,Med Image Anal,2019,2018/11/25,,,10.1016/j.media.2018.11.001,"search_016, search_04",2,duplicate
29931462,Diet Quality and Bone Measurements Using HRpQCT and pQCT in Older Community-Dwelling Adults from the Hertfordshire Cohort Study,"Shaw SC, Parsons CM, Fuggle NR, Edwards MH, Robinson SM, Dennison EM, Cooper C, Ward KA.",Calcif Tissue Int. 2018 Nov;103(5):494-500. doi: 10.1007/s00223-018-0445-x. Epub 2018 Jun 21.,Shaw SC,Calcif Tissue Int,2018,2018/06/23,PMC6174074,EMS78476,10.1007/s00223-018-0445-x,"search_016, search_04",2,duplicate
30035065,Computational anatomy of the proximal humerus: An ex vivo high-resolution peripheral quantitative computed tomography study,"Kamer L, Noser H, Popp AW, Lenz M, Blauth M.",J Orthop Translat. 2015 Oct 20;4:46-56. doi: 10.1016/j.jot.2015.09.006. eCollection 2016 Jan.,Kamer L,J Orthop Translat,2015,2018/07/24,PMC5987007,,10.1016/j.jot.2015.09.006,"search_016, search_017, search_018, search_04, search_05, search_06",6,duplicate
21541999,Finite element analysis performed on radius and tibia HR-pQCT images and fragility fractures at all sites in men,"Vilayphiou N, Boutroy S, Szulc P, van Rietbergen B, Munoz F, Delmas PD, Chapurlat R.",J Bone Miner Res. 2011 May;26(5):965-73. doi: 10.1002/jbmr.297.,Vilayphiou N,J Bone Miner Res,2011,2011/05/05,,,10.1002/jbmr.297,"search_016, search_017, search_04, search_05",4,duplicate
20044044,Finite element analysis performed on radius and tibia HR-pQCT images and fragility fractures at all sites in postmenopausal women,"Vilayphiou N, Boutroy S, Sornay-Rendu E, Van Rietbergen B, Munoz F, Delmas PD, Chapurlat R.",Bone. 2010 Apr;46(4):1030-7. doi: 10.1016/j.bone.2009.12.015. Epub 2010 Jan 4.,Vilayphiou N,Bone,2010,2010/01/02,,,10.1016/j.bone.2009.12.015,"search_016, search_017, search_04, search_05",4,duplicate
18665795,High-resolution pQCT analysis at the distal radius and tibia discriminates patients with recent wrist and femoral neck fractures,"Vico L, Zouch M, Amirouche A, Frère D, Laroche N, Koller B, Laib A, Thomas T, Alexandre C.",J Bone Miner Res. 2008 Nov;23(11):1741-50. doi: 10.1359/jbmr.080704.,Vico L,J Bone Miner Res,2008,2008/07/31,,,10.1359/jbmr.080704,"search_016, search_017, search_04, search_05",4,duplicate
28077378,Peripheral skeleton bone strength is positively correlated with total and dairy protein intakes in healthy postmenopausal women,"Durosier-Izart C, Biver E, Merminod F, van Rietbergen B, Chevalley T, Herrmann FR, Ferrari SL, Rizzoli R.",Am J Clin Nutr. 2017 Feb;105(2):513-525. doi: 10.3945/ajcn.116.134676. Epub 2017 Jan 11.,Durosier-Izart C,Am J Clin Nutr,2017,2017/01/13,,,10.3945/ajcn.116.134676,"search_017, search_018, search_05, search_06",4,duplicate
33824080,"Musculoskeletal injuries in military personnel-Descriptive epidemiology, risk factor identification, and prevention","Lovalekar M, Hauret K, Roy T, Taylor K, Blacker SD, Newman P, Yanovich R, Fleischmann C, Nindl BC, Jones B, Canham-Chervak M.",J Sci Med Sport. 2021 Oct;24(10):963-969. doi: 10.1016/j.jsams.2021.03.016. Epub 2021 Mar 31.,Lovalekar M,J Sci Med Sport,2021,2021/04/07,,,10.1016/j.jsams.2021.03.016,"search_018, search_06",2,duplicate
31759205,Lipidomic architecture shared by subclinical markers of osteoporosis and atherosclerosis: The Cardiovascular Risk in Young Finns Study,"Mishra BH, Mishra PP, Mononen N, Hilvo M, Sievänen H, Juonala M, Laaksonen M, Hutri-Kähönen N, Viikari J, Kähönen M, Raitakari OT, Laaksonen R, Lehtimäki T.",Bone. 2020 Feb;131:115160. doi: 10.1016/j.bone.2019.115160. Epub 2019 Nov 21.,Mishra BH,Bone,2020,2019/11/24,,,10.1016/j.bone.2019.115160,"search_018, search_06",2,duplicate
