PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,DOI,Prediction,Segmentation,Radiomics Constrast/Texture,Classification,Super Resolution,Clustering,Data Reduction,Data Integration,ML_Task,Modality,Species,In Vivo or Ex Vivo,Model,Accuracy
26104807,Apparent- and Tissue-Level Yield Behaviors of L4 Vertebral Trabecular Bone and Their Associations with Microarchitectures,"Gong H, Wang L, Fan Y, Zhang M, Qin L.",Ann Biomed Eng. 2016 Apr;44(4):1204-23. doi: 10.1007/s10439-015-1368-6. Epub 2015 Jun 24.,Gong H,Ann Biomed Eng,2016,6/25/15,10.1007/s10439-015-1368-6,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,0.81
28042512,THE MEASUREMENT OF BONE QUALITY USING GRAY LEVEL CO-OCCURRENCE MATRIX TEXTURAL FEATURES,"Shirvaikar M, Huang N, Dong XN.",J Med Imaging Health Inform. 2016 Oct;6(6):1357-1362. doi: 10.1166/jmihi.2016.1812.,Shirvaikar M,J Med Imaging Health Inform,2016,1/3/17,10.1166/jmihi.2016.1812,,,Yes,,,,,,Radiomics,microCT,Human,Ex Vivo,Radiomics-GLCM,; 0.4
27130873,Cluster analysis of bone microarchitecture from high resolution peripheral quantitative computed tomography demonstrates two separate phenotypes associated with high fracture risk in men and women,"Edwards MH, Robinson DE, Ward KA, Javaid MK, Walker-Bone K, Cooper C, Dennison EM.",Bone. 2016 Jul;88:131-137. doi: 10.1016/j.bone.2016.04.025. Epub 2016 Apr 26.,Edwards MH,Bone,2016,5/1/16,10.1016/j.bone.2016.04.025,,,,Yes,,Yes,,,Classification; Clustering,HRpQCT,Human,In Vivo,K-Means Clustering; Logistic Regression,Not Reported
26293309,Patterns of activity adaptation in humeral trabecular bone in Neolithic humans and present-day people,"Scherf H, Wahl J, Hublin JJ, Harvati K.",Am J Phys Anthropol. 2016 Jan;159(1):106-15. doi: 10.1002/ajpa.22835. Epub 2015 Aug 21.,Scherf H,Am J Phys Anthropol,2016,8/22/15,10.1002/ajpa.22835,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
26426826,Genetics of murine craniofacial morphology: diallel analysis of the eight founders of the Collaborative Cross,"Percival CJ, Liberton DK, Pardo-Manuel de Villena F, Spritz R, Marcucio R, Hallgrímsson B.",J Anat. 2016 Jan;228(1):96-112. doi: 10.1111/joa.12382. Epub 2015 Oct 1.,Percival CJ,J Anat,2016,10/2/15,10.1111/joa.12382,,,,,,,Yes,,Data Reduction,microCT,Mouse,Ex Vivo,Principal Component Analysis,
26901355,A Non-Destructive Method for Distinguishing Reindeer Antler (Rangifer tarandus) from Red Deer Antler (Cervus elaphus) Using X-Ray Micro-Tomography Coupled with SVM Classifiers,"Lefebvre A, Rochefort GY, Santos F, Le Denmat D, Salmon B, Pétillon JM.",PLoS One. 2016 Feb 22;11(2):e0149658. doi: 10.1371/journal.pone.0149658. eCollection 2016.,Lefebvre A,PLoS One,2016,2/23/16,10.1371/journal.pone.0149658,,,,Yes,,,Yes,,Data Reduction; Classification,microCT,Deer,Ex Vivo,Principal Component Analysis; Support Vector Machine,0.96
27329823,Patterns of postnatal ontogeny of the skull and lower jaw of snakes as revealed by micro-CT scan data and three-dimensional geometric morphometrics,"Palci A, Lee MS, Hutchinson MN.",J Anat. 2016 Dec;229(6):723-754. doi: 10.1111/joa.12509. Epub 2016 Jun 22.,Palci A,J Anat,2016,6/23/16,10.1111/joa.12509,,,,,,,Yes,,Data Reduction,microCT,Snakes,Ex Vivo,Principal Component Analysis,
28573732,Error in geometric morphometric data collection: Combining data from multiple sources,"Robinson C, Terhune CE.",Am J Phys Anthropol. 2017 Sep;164(1):62-75. doi: 10.1002/ajpa.23257. Epub 2017 Jun 2.,Robinson C,Am J Phys Anthropol,2017,6/3/17,10.1002/ajpa.23257,,,,,,,Yes,,Data Reduction,microCT,Monkey,Ex Vivo,Principal Component Analysis,0.65
28060917,A Novel Mouse Segmentation Method Based on Dynamic Contrast Enhanced Micro-CT Images,"Yan D, Zhang Z, Luo Q, Yang X.",PLoS One. 2017 Jan 6;12(1):e0169424. doi: 10.1371/journal.pone.0169424. eCollection 2017.,Yan D,PLoS One,2017,1/7/17,10.1371/journal.pone.0169424,,,,Yes,Yes,Yes,Yes into ML,,Data Reduction; Clustering; Super Resolution; Classification,microCT,mouse,In Vivo,Principal Component Analysis; Simple linear iterative clustering algorithm (SLIC); Support Vector Machine; Random Forest,0.9; 0.2; 0.1
28693418,"Phylogenetic conservatism in skulls and evolutionary lability in limbs - morphological evolution across an ancient frog radiation is shaped by diet, locomotion and burrowing","Vidal-García M, Scott Keogh J.",BMC Evol Biol. 2017 Jul 10;17(1):165. doi: 10.1186/s12862-017-0993-0.,Vidal-García M,BMC Evol Biol,2017,7/12/17,10.1186/s12862-017-0993-0,,,,,,,Yes,,Data Reduction,microCT,Frogs,Ex Vivo,Principal Component Analysis,
