PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,DOI,Prediction,Segmentation,Radiomics Constrast/Texture,Classification,Super Resolution,Clustering,Data Reduction,Data Integration,ML_Task,Modality,Species,In Vivo or Ex Vivo,Model,Accuracy
33221674,Noise reduction using novel loss functions to compute tissue mineral density and trabecular bone volume fraction on low resolution QCT,"Thomsen FSL, Delrieux CA, Pisula JI, Fuertes García JM, Lucena M, de Luis García R, Borggrefe J.",Comput Med Imaging Graph. 2020 Dec;86:101816. doi: 10.1016/j.compmedimag.2020.101816. Epub 2020 Nov 10.,Thomsen FSL,Comput Med Imaging Graph,2020,11/22/20,10.1016/j.compmedimag.2020.101816,,,,,Yes,,,,Prediction; Super Resolution,HRpQCT,Human,Ex Vivo,Convolutional Neural Network,0.9; 0.5; 5.7; 9.2
33782948,Automated analysis of rabbit knee calcified cartilage morphology using micro-computed tomography and deep learning,"Rytky SJO, Huang L, Tanska P, Tiulpin A, Panfilov E, Herzog W, Korhonen RK, Saarakkala S, Finnilä MAJ.",J Anat. 2021 Aug;239(2):251-263. doi: 10.1111/joa.13435. Epub 2021 Mar 29.,Rytky SJO,J Anat,2021,3/30/21,10.1111/joa.13435,,Yes,,,,,,,Segmentation,microCT,rabbit,Ex Vivo,UNet,0.9
34754768,Application of machine learning classifiers for microcomputed tomography data assessment of mouse bone microarchitecture,"Coulombe JC, Mullen ZK, Lynch ME, Stodieck LS, Ferguson VL.",MethodsX. 2021 Aug 24;8:101497. doi: 10.1016/j.mex.2021.101497. eCollection 2021.,Coulombe JC,MethodsX,2021,11/10/21,10.1016/j.mex.2021.101497,,,,Yes,,Yes,Yes,,Data Reduction; Classification; Clustering,microCT,Mouse,Ex Vivo,Principal Component Analysis; Support Vector Machine; K-Means Clustering,0.5
34842849,Generation of Vertebra Micro-CT-like Image from MDCT: A Deep-Learning-Based Image Enhancement Approach,"Jin D, Zheng H, Zhao Q, Wang C, Zhang M, Yuan H.",Tomography. 2021 Nov 12;7(4):767-782. doi: 10.3390/tomography7040064.,Jin D,Tomography,2021,11/29/21,10.3390/tomography7040064,,,,,Yes,,,,Super Resolution,microCT,Human,Ex Vivo,pix2pixHD; pix2pix; Custom-Convolutional Neural Network,0.8; 0.57; 0.49
33683776,Systematic analysis reveals that colony housing aligns gait profiles and strengthens link between histological and micro-CT bone markers in rat models of osteoarthritis,"Chang YM, Menges S, Westhof A, Kleinschmidt-Doerr K, Brenneis C, Pitsillides AA.",FASEB J. 2021 Apr;35(4):e21451. doi: 10.1096/fj.202002009R.,Chang YM,FASEB J,2021,3/8/21,10.1096/fj.202002009R,,,,,,,Yes,,Data Reduction,microCT,rat,Ex Vivo,Principal Component Analysis,
34930947,Scaling the U-net: segmentation of biodegradable bone implants in high-resolution synchrotron radiation microtomograms,"Baltruschat IM, Ćwieka H, Krüger D, Zeller-Plumhoff B, Schlünzen F, Willumeit-Römer R, Moosmann J, Heuser P.",Sci Rep. 2021 Dec 20;11(1):24237. doi: 10.1038/s41598-021-03542-y.,Baltruschat IM,Sci Rep,2021,12/21/21,10.1038/s41598-021-03542-y,,Yes,,,,,,,Segmentation,microCT,Human,Ex Vivo,UNet,0.9
33958664,Deep learning methods allow fully automated segmentation of metacarpal bones to quantify volumetric bone mineral density,"Folle L, Meinderink T, Simon D, Liphardt AM, Krönke G, Schett G, Kleyer A, Maier A.",Sci Rep. 2021 May 6;11(1):9697. doi: 10.1038/s41598-021-89111-9.,Folle L,Sci Rep,2021,5/7/21,10.1038/s41598-021-89111-9,,Yes,,,,,,,Segmentation,HRpQCT,Human,In Vivo,UNet,0.97
33761965,3D computational anatomy of the scaphoid and its waist for use in fracture treatment,"Ahrend MD, Teunis T, Noser H, Schmidutz F, Richards G, Gueorguiev B, Kamer L.",J Orthop Surg Res. 2021 Mar 24;16(1):216. doi: 10.1186/s13018-021-02330-8.,Ahrend MD,J Orthop Surg Res,2021,3/25/21,10.1186/s13018-021-02330-8,,,,,,,Yes,,Data Reduction,HRpQCT,Human,Ex Vivo,Principal Component Analysis,
34122326,"Global and Spatial Compartmental Interrelationships of Bone Density, Microstructure, Geometry and Biomechanics in the Distal Radius in a Colles' Fracture Study Using HR-pQCT","Shiraishi K, Burghardt AJ, Osaki M, Khosla S, Carballido-Gamio J.",Front Endocrinol (Lausanne). 2021 May 26;12:568454. doi: 10.3389/fendo.2021.568454. eCollection 2021.,Shiraishi K,Front Endocrinol (Lausanne),2021,6/14/21,10.3389/fendo.2021.568454,,Yes,,Yes,,Yes,,,Segmentation; Clustering; Classification,HRpQCT,Human,In Vivo,Fuzzy c-means; s-shaped membership,Not Reported
34534791,Association between bone shape and the presence of a fracture in patients with a clinically suspected scaphoid fracture,"Bevers MSAM, Wyers CE, Daniels AM, Audenaert EA, van Kuijk SMJ, van Rietbergen B, Geusens PPMM, Kaarsemaker S, Janzing HMJ, Hannemann PFW, Poeze M, van den Bergh JP.",J Biomech. 2021 Nov 9;128:110726. doi: 10.1016/j.jbiomech.2021.110726. Epub 2021 Aug 30.,Bevers MSAM,J Biomech,2021,9/17/21,10.1016/j.jbiomech.2021.110726,,,,Yes,,,Yes into ML,,Data Reduction; Classification,HRpQCT,Human,In Vivo,Principal Component Analysis; Logisitic Regression,0.75
34278000,Differences in the effects of BMI on bone microstructure between loaded and unloaded bones assessed by HR-pQCT in Japanese postmenopausal women,"Fujii N, Tsukamoto M, Okimoto N, Mori M, Ikejiri Y, Yoshioka T, Kawasaki M, Kito N, Ozawa J, Nakamura R, Takano S, Fujiwara S.",Osteoporos Sarcopenia. 2021 Jun;7(2):54-62. doi: 10.1016/j.afos.2021.05.002. Epub 2021 May 26.,Fujii N,Osteoporos Sarcopenia,2021,7/19/21,10.1016/j.afos.2021.05.002,,,,,,,Yes,,Data Reduction,HRpQCT,Human,In Vivo,Principal Component Analysis,0.9
32780474,"Middle Pleistocene human femoral diaphyses from Hualongdong, Anhui Province, China","Xing S, Wu XJ, Liu W, Pei SW, Cai YJ, Tong HW, Trinkaus E.",Am J Phys Anthropol. 2021 Feb;174(2):285-298. doi: 10.1002/ajpa.24121. Epub 2020 Aug 11.,Xing S,Am J Phys Anthropol,2021,8/12/20,10.1002/ajpa.24121,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
32935871,Caspase inhibitor attenuates the shape changes in the alveolar ridge following tooth extraction: A pilot study in rats,"Schwarze UY, Strauss FJ, Gruber R.",J Periodontal Res. 2021 Jan;56(1):101-107. doi: 10.1111/jre.12798. Epub 2020 Sep 16.,Schwarze UY,J Periodontal Res,2021,9/16/20,10.1111/jre.12798,,,,,,,Yes,,Data Reduction,microCT,Mouse,Ex Vivo,Principal Component Analysis,
34087386,Microgravity-induced alterations of mouse bones are compartment- and site-specific and vary with age,"Coulombe JC, Sarazin BA, Mullen Z, Ortega AM, Livingston EW, Bateman TA, Stodieck LS, Lynch ME, Ferguson VL.",Bone. 2021 Oct;151:116021. doi: 10.1016/j.bone.2021.116021. Epub 2021 Jun 2.,Coulombe JC,Bone,2021,6/4/21,10.1016/j.bone.2021.116021,,,,Yes,,Yes,Yes into ML,,Data Reduction; Clustering; Classification,microCT,Mouse,Ex Vivo,Principal Component Analysis;  K-means; Support Vector Machine,0.80; 0.83
33623074,Automatic segmentation of inner ear on CT-scan using auto-context convolutional neural network,"Hussain R, Lalande A, Girum KB, Guigou C, Bozorg Grayeli A.",Sci Rep. 2021 Feb 23;11(1):4406. doi: 10.1038/s41598-021-83955-x.,Hussain R,Sci Rep,2021,2/24/21,10.1038/s41598-021-83955-x,,Yes,,,,,,,Segmentation,microCT,Human,Ex Vivo,UNet,0.9
35964469,Ensemble learning and test-time augmentation for the segmentation of mineralized cartilage versus bone in high-resolution microCT images,"Léger J, Leyssens L, Kerckhofs G, De Vleeschouwer C.",Comput Biol Med. 2022 Sep;148:105932. doi: 10.1016/j.compbiomed.2022.105932. Epub 2022 Aug 2.,Léger J,Comput Biol Med,2022,8/14/22,10.1016/j.compbiomed.2022.105932,,Yes,,,,,,,Segmentation,microCT,mouse,Ex Vivo,UNet,0.9
36712355,Hip osteoarthritis: A novel network analysis of subchondral trabecular bone structures,"Dorraki M, Muratovic D, Fouladzadeh A, Verjans JW, Allison A, Findlay DM, Abbott D.",PNAS Nexus. 2022 Nov 21;1(5):pgac258. doi: 10.1093/pnasnexus/pgac258. eCollection 2022 Nov.,Dorraki M,PNAS Nexus,2022,1/30/23,10.1093/pnasnexus/pgac258,,,,Yes,,,,,Classification,microCT,Human,Ex Vivo,Deep Convolutional Neural Network,0.96
35461315,Spatial links between subchondral bone architectural features and cartilage degeneration in osteoarthritic joints,"Ajami S, Javaheri B, Chang YM, Maruthainar N, Khan T, Donaldson J, Pitsillides AA, Liu C.",Sci Rep. 2022 Apr 23;12(1):6694. doi: 10.1038/s41598-022-10600-6.,Ajami S,Sci Rep,2022,4/24/22,10.1038/s41598-022-10600-6,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
34761388,Variation in vertebrae shape across small-bodied newts reveals functional and developmental constraints acting upon the trunk region,"Scholtes SJ, Arntzen JW, Ajduković M, Ivanović A.",J Anat. 2022 Apr;240(4):639-646. doi: 10.1111/joa.13591. Epub 2021 Nov 10.,Scholtes SJ,J Anat,2022,11/11/21,10.1111/joa.13591,,,,,,Yes,Yes into ML,,Data Reduction; Clustering,microCT,lissotriton,Ex Vivo,Principal Component Analysis; AjBQD,
35403831,Toward an artificial intelligence-assisted framework for reconstructing the digital twin of vertebra and predicting its fracture response,"Ahmadian H, Mageswaran P, Walter BA, Blakaj DM, Bourekas EC, Mendel E, Marras WS, Soghrati S.",Int J Numer Method Biomed Eng. 2022 Jun;38(6):e3601. doi: 10.1002/cnm.3601. Epub 2022 Apr 26.,Ahmadian H,Int J Numer Method Biomed Eng,2022,4/11/22,10.1002/cnm.3601,,,,,Yes,,,,Super Resolution,microCT,Human,Ex Vivo,ReconGAN,Not Reported
35218039,Impact of the training loss in deep learning-based CT reconstruction of bone microarchitecture,"Leuliet T, Maxim V, Peyrin F, Sixou B.",Med Phys. 2022 May;49(5):2952-2964. doi: 10.1002/mp.15577. Epub 2022 Mar 16.,Leuliet T,Med Phys,2022,2/26/22,10.1002/mp.15577,,,,,Yes,,,,Super Resolution,microCT,Human,Ex Vivo,Deep CNN,0.85; 30
36111203,Protective Effect on Bone of Nacre Supplementation in Ovariectomized Rats,"Nguyen DK, Laroche N, Vanden-Bossche A, Linossier MT, Thomas M, Peyroche S, Normand M, Bertache-Djenadi Y, Thomas T, Marotte H, Vico L, Lafage-Proust MH, Rousseau M.",JBMR Plus. 2022 Jul 15;6(9):e10655. doi: 10.1002/jbm4.10655. eCollection 2022 Sep.,Nguyen DK,JBMR Plus,2022,9/16/22,10.1002/jbm4.10655,,,,,,,Yes,,Data Reduction,microCT,rat,In Vivo,Principal Component Analysis,
36039207,Rule and Neural Network-Based Image Segmentation of Mice Vertebrae Images,"Madireddy I, Wu T.",Cureus. 2022 Jul 25;14(7):e27247. doi: 10.7759/cureus.27247. eCollection 2022 Jul.,Madireddy I,Cureus,2022,8/30/22,10.7759/cureus.27247,,Yes,,,,,,,Segmentation,microCT,mouse,Ex Vivo,Linear neural network; UNet,0.96; 0.95
35360728,"Deep Learning-Based Classification of Inflammatory Arthritis by Identification of Joint Shape Patterns-How Neural Networks Can Tell Us Where to ""Deep Dive"" Clinically","Folle L, Simon D, Tascilar K, Krönke G, Liphardt AM, Maier A, Schett G, Kleyer A.",Front Med (Lausanne). 2022 Mar 10;9:850552. doi: 10.3389/fmed.2022.850552. eCollection 2022.,Folle L,Front Med (Lausanne),2022,4/1/22,10.3389/fmed.2022.850552,,,,Yes,,,,,Classification,HRpQCT,Human,In Vivo,Convolutional Supervised Auto-Encoder (CSAE),0.8
34953074,Bone Microarchitecture Phenotypes Identified in Older Adults Are Associated With Different Levels of Osteoporotic Fracture Risk,"Whittier DE, Samelson EJ, Hannan MT, Burt LA, Hanley DA, Biver E, Szulc P, Sornay-Rendu E, Merle B, Chapurlat R, Lespessailles E, Wong AKO, Goltzman D, Khosla S, Ferrari S, Bouxsein ML, Kiel DP, Boyd SK.",J Bone Miner Res. 2022 Mar;37(3):428-439. doi: 10.1002/jbmr.4494. Epub 2022 Jan 14.,Whittier DE,J Bone Miner Res,2022,12/25/21,10.1002/jbmr.4494,,,,,,Yes,,,Clustering,HRpQCT,Human,In Vivo,Fuzzy C-Means; Agglomerative Clustering,
35614082,"MusMorph, a database of standardized mouse morphology data for morphometric meta-analyses","Devine J, Vidal-García M, Liu W, Neves A, Lo Vercio LD, Green RM, Richbourg HA, Marchini M, Unger CM, Nickle AC, Radford B, Young NM, Gonzalez PN, Schuler RE, Bugacov A, Rolian C, Percival CJ, Williams T, Niswander L, Calof AL, Lander AD, Visel A, Jirik FR, Cheverud JM, Klein OD, Birnbaum RY, Merrill AE, Ackermann RR, Graf D, Hemberger M, Dean W, Forkert ND, Murray SA, Westerberg H, Marcucio RS, Hallgrímsson B.",Sci Data. 2022 May 25;9(1):230. doi: 10.1038/s41597-022-01338-x.,Devine J,Sci Data,2022,5/25/22,10.1038/s41597-022-01338-x,,,,,Yes,,Yes,,Data Reduction; Super Resolution,microCT,Mouse,Ex Vivo,Principal Component Analysis; Deep Feedforward Neural Network,Not Reported
36091331,Cortical bone relationships are maintained regardless of sex and diet in a large population of LGXSM advanced intercross mice,"Migotsky N, Brodt MD, Cheverud JM, Silva MJ.",Bone Rep. 2022 Aug 26;17:101615. doi: 10.1016/j.bonr.2022.101615. eCollection 2022 Dec.,Migotsky N,Bone Rep,2022,9/12/22,10.1016/j.bonr.2022.101615,,,,,,Yes,Yes,,Data Reduction; Clustering,microCT,Mouse,Ex Vivo,Principal Component Analysis; Hiearchical Ward Clustering,
34999487,Using Statistical Shape and Appearance Modelling to characterise the 3D shape and material properties of human lumbar vertebrae: A proof of concept study,"Day GA, Jones AC, Wilcox RK.",J Mech Behav Biomed Mater. 2022 Feb;126:105047. doi: 10.1016/j.jmbbm.2021.105047. Epub 2021 Dec 15.,Day GA,J Mech Behav Biomed Mater,2022,1/9/22,10.1016/j.jmbbm.2021.105047,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
34542171,Phenotypic regionalization of the vertebral column in the thorny skate Amblyraja radiata: Stability and variation,"Berio F, Bayle Y, Riley C, Larouche O, Cloutier R.",J Anat. 2022 Feb;240(2):253-267. doi: 10.1111/joa.13551. Epub 2021 Sep 19.,Berio F,J Anat,2022,9/20/21,10.1111/joa.13551,,,,,,Yes,Yes,,Data Reduction; Clustering,microCT,Fish (Thorny Skate),Ex Vivo,Correspondence Analysis; Partition Around Medoids (PAM) ,
37850158,Breast Cancer Induced Bone Osteolysis Prediction Using Temporal Variational Autoencoders,"Xiong W, Yeung N, Wang S, Liao H, Wang L, Luo J.",BME Front. 2022 Apr 2;2022:9763284. doi: 10.34133/2022/9763284. eCollection 2022.,Xiong W,BME Front,2022,10/18/23,10.34133/2022/9763284,,,,,Yes,,,,Super Resolution,microCT,Mouse,Ex Vivo,T-VAE; 3D-GAN; CLSTM; PredRNN,22.9; 0.79
36359157,Radiomics Modeling of Catastrophic Proximal Sesamoid Bone Fractures in Thoroughbred Racehorses Using μCT,"Basran PS, McDonough S, Palmer S, Reesink HL.",Animals (Basel). 2022 Nov 4;12(21):3033. doi: 10.3390/ani12213033.,Basran PS,Animals (Basel),2022,11/11/22,10.3390/ani12213033,,,Yes,Yes,,,,,Radiomics; Classification,microCT,Horse,Ex Vivo,Radiomcs-Morphology-Shape; Radiomics-First Order; Radiomics-GLCM; Radiomics-GLDM; Radiomics-GLRLM; Radiomics-GLSZM; Support Vector Machine; Random Forest (RUS Boost); Logistic Regression; K-Means Nearest Neighbor; Medium Neural Network; Random Forest (Bagged Trees),0.98
36327650,Segmentation of trabecular bone microdamage in Xray microCT images using a two-step deep learning method,"Caron R, Londono I, Seoud L, Villemure I.",J Mech Behav Biomed Mater. 2023 Jan;137:105540. doi: 10.1016/j.jmbbm.2022.105540. Epub 2022 Oct 25.,Caron R,J Mech Behav Biomed Mater,2023,11/3/22,10.1016/j.jmbbm.2022.105540,,Yes,,,,,,,Segmentation,microCT,bovine,Ex Vivo,YOLOv4p5; UNet,0.5
36402366,Open-source pipeline for automatic segmentation and microstructural analysis of murine knee subchondral bone,"Mahdi H, Hardisty M, Fullerton K, Vachhani K, Nam D, Whyne C.",Bone. 2023 Feb;167:116616. doi: 10.1016/j.bone.2022.116616. Epub 2022 Nov 17.,Mahdi H,Bone,2023,11/19/22,10.1016/j.bone.2022.116616,,Yes,,,,,,,Segmentation,microCT,mouse,Ex Vivo,UNet,0.93
38074790,A Super-Resolution Diffusion Model for Recovering Bone Microstructure from CT Images,"Chan TJ, Rajapakse CS.",Radiol Artif Intell. 2023 Sep 20;5(6):e220251. doi: 10.1148/ryai.220251. eCollection 2023 Nov.,Chan TJ,Radiol Artif Intell,2023,12/11/23,10.1148/ryai.220251,,,,,Yes,,,,Super Resolution,microCT,Human,Ex Vivo,UNet; SRCNN; SRRestNet; SRGAN,
37769956,"Composition and micromechanical properties of the femoral neck compact bone in relation to patient age, sex and hip fracture occurrence","Kochetkova T, Hanke MS, Indermaur M, Groetsch A, Remund S, Neuenschwander B, Michler J, Siebenrock KA, Zysset P, Schwiedrzik J.",Bone. 2023 Dec;177:116920. doi: 10.1016/j.bone.2023.116920. Epub 2023 Sep 26.,Kochetkova T,Bone,2023,9/28/23,10.1016/j.bone.2023.116920,,,,Yes,,,Yes into ML,,Data Reduction; Classification,microCT,Human,Ex Vivo,Principal Component Analysis; Gaussian Naive Bayes,0.71
37132542,A Fracture Risk Assessment Tool for High Resolution Peripheral Quantitative Computed Tomography,"Whittier DE, Samelson EJ, Hannan MT, Burt LA, Hanley DA, Biver E, Szulc P, Sornay-Rendu E, Merle B, Chapurlat R, Lespessailles E, Wong AKO, Goltzman D, Khosla S, Ferrari S, Bouxsein ML, Kiel DP, Boyd SK.",J Bone Miner Res. 2023 Sep;38(9):1234-1244. doi: 10.1002/jbmr.4808. Epub 2023 May 3.,Whittier DE,J Bone Miner Res,2023,5/3/23,10.1002/jbmr.4808,,,,Yes,,,,,Classification,HRpQCT,Human,In Vivo,Random Survival Forests,0.67
36581259,Machine learning applied to HR-pQCT images improves fracture discrimination provided by DXA and clinical risk factors,"Lu S, Fuggle NR, Westbury LD, Ó Breasail M, Bevilacqua G, Ward KA, Dennison EM, Mahmoodi S, Niranjan M, Cooper C.",Bone. 2023 Mar;168:116653. doi: 10.1016/j.bone.2022.116653. Epub 2022 Dec 27.,Lu S,Bone,2023,12/29/22,10.1016/j.bone.2022.116653,,,Yes,Yes,,,,,Classification; Radiomics,HRpQCT,Human,In Vivo,Radiomics-Image; Random Forest,0.9
36368464,Motion grading of high-resolution quantitative computed tomography supported by deep convolutional neural networks,"Walle M, Eggemann D, Atkins PR, Kendall JJ, Stock K, Müller R, Collins CJ.",Bone. 2023 Jan;166:116607. doi: 10.1016/j.bone.2022.116607. Epub 2022 Nov 8.,Walle M,Bone,2023,11/11/22,10.1016/j.bone.2022.116607,,,,Yes,,,,,Classification,HRpQCT,Human,In Vivo,Convolutional Neural Network,0.86
37708503,A geometric morphometric analysis of variation in Australian frog ilia and taxonomic interpretations,"Farman RM, Archer M, Hand SJ.",J Morphol. 2023 Oct;284(10):e21642. doi: 10.1002/jmor.21642.,Farman RM,J Morphol,2023,9/14/23,10.1002/jmor.21642,,,,,,,Yes,Yes,Data Reduction; Data Integration,microCT,Frogs,Ex Vivo,Principal Component Analysis; Canonical Variant Analysis,
36369743,Quantification and comparison of the regional acceleratory phenomenon in bone following piezosurgery or bur osteotomy: A pilot study in rats,"Battista MD, Kernitsky J, Exarchos E, Ohira T, Dibart S.",Clin Exp Dent Res. 2023 Feb;9(1):66-74. doi: 10.1002/cre2.689. Epub 2022 Nov 11.,Battista MD,Clin Exp Dent Res,2023,11/12/22,10.1002/cre2.689,,Yes,,,,,,,Segmentation,microCT,Rats,Ex Vivo,UNet,Not Reported
35975837,Predicting the effective compressive modulus of human cancellous bone using the convolutional neural network method,"Lu Y, Yang Z, Zhu H, Wu C.",Comput Methods Biomech Biomed Engin. 2023 Sep;26(10):1150-1159. doi: 10.1080/10255842.2022.2112183. Epub 2022 Aug 17.,Lu Y,Comput Methods Biomech Biomed Engin,2023,8/17/22,10.1080/10255842.2022.2112183,Yes,,,,,,,,Prediction,HRpQCT,Human,Ex Vivo,Custom-Convolutional Neural Network,0.95
36604534,Automatic segmentation of trabecular and cortical compartments in HR-pQCT images using an embedding-predicting U-Net and morphological post-processing,"Neeteson NJ, Besler BA, Whittier DE, Boyd SK.",Sci Rep. 2023 Jan 5;13(1):252. doi: 10.1038/s41598-022-27350-0.,Neeteson NJ,Sci Rep,2023,1/5/23,10.1038/s41598-022-27350-0,,Yes,,,,,,,Segmentation,HRpQCT,Human,In Vivo,UNet,0.98
37295663,"Mineral tessellation in mouse enthesis fibrocartilage, Achilles tendon, and Hyp calcifying enthesopathy: A shared 3D mineralization pattern","Buss DJ, Rechav K, Reznikov N, McKee MD.",Bone. 2023 Sep;174:116818. doi: 10.1016/j.bone.2023.116818. Epub 2023 Jun 8.,Buss DJ,Bone,2023,6/9/23,10.1016/j.bone.2023.116818,,Yes,,,,,,,Segmentation,microCT,Mouse,Ex Vivo,UNet,Not reported
38905961,Enhancing trabecular CT scans based on deep learning with multi-strategy fusion,"Ge P, Li S, Liang Y, Zhang S, Zhang L, Hu Y, Yao L, Wong PK.",Comput Med Imaging Graph. 2024 Sep;116:102410. doi: 10.1016/j.compmedimag.2024.102410. Epub 2024 Jun 12.,Ge P,Comput Med Imaging Graph,2024,6/21/24,10.1016/j.compmedimag.2024.102410,,,,,Yes,,,,Super Resolution,microCT,Human,Ex Vivo,Cascade-SwinUNETR,0.61; 28.75
38777311,Characterization and quantification of in-vitro equine bone resorption in 3D using μCT and deep learning-aided feature segmentation,"Grass DM, Malek G, Taïeb HM, Ittah E, Richard H, Reznikov N, Laverty S.",Bone. 2024 Aug;185:117131. doi: 10.1016/j.bone.2024.117131. Epub 2024 May 20.,Grass DM,Bone,2024,5/22/24,10.1016/j.bone.2024.117131,,Yes,,,,,,,Segmentation,microCT,mouse,In Vitro,UNet,Not Reported
38834103,Statistical investigation of interdependence of trabecular microarchitectural parameters from micro-computed tomography,"Neeteson NJ, Bugbird AR, Burt LA, Boyd SK.",Bone. 2024 Oct;187:117144. doi: 10.1016/j.bone.2024.117144. Epub 2024 Jun 2.,Neeteson NJ,Bone,2024,6/4/24,10.1016/j.bone.2024.117144,,,,,,,Yes,,Data Reduction,HRpQCT,Human,In Vivo,Principal Component Analysis,
38908071,Bone mineral density and geometric morphometrics: Indicators of growth in the immature pars basilaris,"Thornton R, Mendelow MG, Hutchinson EF.",Forensic Sci Int. 2024 Aug;361:112111. doi: 10.1016/j.forsciint.2024.112111. Epub 2024 Jun 17.,Thornton R,Forensic Sci Int,2024,6/22/24,10.1016/j.forsciint.2024.112111,,,,,,,Yes,,Data Reduction,microCT,human,Ex Vivo,Principal Component Analysis,
38740120,Super-resolution of clinical CT: Revealing microarchitecture in whole bone clinical CT image data,"Frazer LL, Louis N, Zbijewski W, Vaishnav J, Clark K, Nicolella DP.",Bone. 2024 Aug;185:117115. doi: 10.1016/j.bone.2024.117115. Epub 2024 May 11.,Frazer LL,Bone,2024,5/13/24,10.1016/j.bone.2024.117115,,Yes,,,Yes,,,,Segmentation; Super Resolution,microCT,Human,Ex Vivo,UNet; SRGAN,0.24; 9.2
37713225,Data-Driven Based Characterization of Anisotropic Mechanical Properties for Cancellous Bone From Low-Resolution CT Images,"Yan Z, Hu Y, Li X, Liu Z, Wang P, Liu B, Tian Y, Zhuang Z.",IEEE Trans Biomed Eng. 2024 Feb;71(2):689-699. doi: 10.1109/TBME.2023.3315846. Epub 2024 Jan 19.,Yan Z,IEEE Trans Biomed Eng,2024,9/15/23,10.1109/TBME.2023.3315846,Yes,,,,Yes,,,,Super Resolution; Prediction,microCT,"Human, sheep",Ex Vivo,Fast Super Resolution; Fully Connected Neural Network,0.9
38182017,Preoperative 3-dimensional computed tomography bone density measures provide objective bone quality classifications for stemless anatomic total shoulder arthroplasty,"Ritter D, Denard PJ, Raiss P, Wijdicks CA, Bachmaier S.",J Shoulder Elbow Surg. 2024 Jul;33(7):1503-1511. doi: 10.1016/j.jse.2023.11.005. Epub 2024 Jan 3.,Ritter D,J Shoulder Elbow Surg,2024,1/5/24,10.1016/j.jse.2023.11.005,,,,Yes,,Yes,,,Classification; Clustering,microCT,Human,Ex Vivo,Support Vector Machine; K-Means Clustering,0.93
38473040,Deep Convolutional Neural Networks Provide Motion Grading for High-Resolution Peripheral Quantitative Computed Tomography of the Scaphoid,"Benedikt S, Zelger P, Horling L, Stock K, Pallua J, Schirmer M, Degenhart G, Ruzicka A, Arora R.",Diagnostics (Basel). 2024 Mar 6;14(5):568. doi: 10.3390/diagnostics14050568.,Benedikt S,Diagnostics (Basel),2024,3/13/24,10.3390/diagnostics14050568,,,,Yes,,,,,Classification,HRpQCT,Human,In Vivo,Convolutional Neural Network,0.94
37702738,Food texture and vitamin D influence mouse mandible form and molar roots,"Van Ankum EM, Majcher KB, Dolovich AT, Johnston JD, Flegel KP, Boughner JC.",Anat Rec (Hoboken). 2024 Mar;307(3):611-632. doi: 10.1002/ar.25315. Epub 2023 Sep 13.,Van Ankum EM,Anat Rec (Hoboken),2024,9/13/23,10.1002/ar.25315,,,,,,,Yes,Yes,Data Reduction; Data Integration,microCT,Mouse,Ex Vivo,Principal Component Analysis; Canonical Variant Analysis,
37847809,Three-dimensional changes in the cranial base associated with soft-diet feeding,"Murata Y, Tanikawa C, Shiraishi Y, Inubushi T, Kono K, Kamioka H, Yamashiro T.",Eur J Orthod. 2024 Jan 1;46(1):cjad058. doi: 10.1093/ejo/cjad058.,Murata Y,Eur J Orthod,2024,10/17/23,10.1093/ejo/cjad058,,,,,,,Yes,Yes,Data Reduction; Data Integration,microCT,Mouse,Ex Vivo,Principal Component Analysis; Canonical Variant Analysis,
37982358,Lateral angle: A landmark-based method for the sex estimation in human cremated remains and application to an Austrian prehistoric sample,"Waltenberger L, Heimel P, Skerjanz H, Tangl S, Verdianu D, Rebay-Salisbury K.",Am J Biol Anthropol. 2024 May;184(1):e24874. doi: 10.1002/ajpa.24874. Epub 2023 Nov 19.,Waltenberger L,Am J Biol Anthropol,2024,11/20/23,10.1002/ajpa.24874,,,,Yes,,,,,Classification,microCT,Human,Ex Vivo,Logistic Regression,0.8
39101558,Visualization of Pulpal Structures by SWIR in Endodontic Access Preparation,"Benz L, Heck K, Hevisov D, Kugelmann D, Tseng PC, Sreij Z, Litzenburger F, Waschke J, Schwendicke F, Kienle A, Hickel R, Kunzelmann KH, Walter E.",J Dent Res. 2024 Aug 5:220345241262949. doi: 10.1177/00220345241262949. Online ahead of print.,Benz L,J Dent Res,2024,8/5/24,10.1177/00220345241262949,,Yes,,,,Yes,,,Segmentation; Clustering,microCT,Human,Ex Vivo,K-Means Clustering,Not Reported
38729290,A reliable deep-learning-based method for alveolar bone quantification using a murine model of periodontitis and micro-computed tomography imaging,"Xi R, Ali M, Zhou Y, Tizzano M.",J Dent. 2024 Jul;146:105057. doi: 10.1016/j.jdent.2024.105057. Epub 2024 May 8.,Xi R,J Dent,2024,5/10/24,10.1016/j.jdent.2024.105057,,Yes,,,,,,,Segmentation,microCT,Mouse,Ex Vivo,UNet,Not Reported
